serve,stroker,from,to,balance,hand,index
,Viktor Axelsen,front-right,front-left,even,forehand,12
,Lin Dan,front-left,back-right,even,forehand,13
,Viktor Axelsen,back-right,back-right,defensive,forehand,14
,Lin Dan,back-right,middle-left,even,forehand,15
,Viktor Axelsen,middle-left,front-right,even,backhand,16
,Lin Dan,front-right,front-center,even,backhand,17
,Viktor Axelsen,front-center,back-left,even,backhand,18
,Lin Dan,back-left,front-right,even,forehand,19
,Viktor Axelsen,front-right,back-left,even,forehand,20
,Lin Dan,back-left,back-right,defensive,forehand,21
,Viktor Axelsen,back-right,back-right,offensive,forehand,22
,Lin Dan,back-right,middle-left,even,forehand,23
,Viktor Axelsen,middle-left,front-right,defensive,backhand,24
,Lin Dan,front-right,front-left,offensive,backhand,25
,Viktor Axelsen,front-left,front-right,even,backhand,26
,Lin Dan,front-right,back-right,even,forehand,27
,Viktor Axelsen,back-right,back-right,defensive,forehand,28
,Lin Dan,back-right,middle-right,offensive,forehand,29
1,Lin Dan,front-left,front-center,even,backhand,1
,Viktor Axelsen,front-center,front-right,even,forehand,2
,Lin Dan,front-right,front-left,even,backhand,3
,Viktor Axelsen,front-left,front-right,offensive,backhand,4
,Lin Dan,front-right,back-center,defensive,backhand,5
,Viktor Axelsen,back-center,middle-right,offensive,forehand,6
,Lin Dan,middle-right,front-left,defensive,backhand,7
,Viktor Axelsen,front-left,front-right,offensive,backhand,8
,Lin Dan,front-right,front-center,even,backhand,9
,Viktor Axelsen,front-center,back-right,offensive,forehand,10
,Lin Dan,back-right,front-right,offensive,forehand,11
1,Viktor Axelsen,front-left,front-center,even,backhand,1
,Lin Dan,front-center,back-right,even,backhand,2
